STUDY_ID	SAMPLE_ID	ASH1L	ASH2L	CAMKMT	DOT1L	EEF2KMT	ETFBKMT	EZH1	EZH2	EHMT2	EHMT1	N6AMT1	METTL21A	EEF1AKMT3	METTL21C	METTL22	EEF1AKMT2	CSKMT	EEF1AKNMT	VCPKMT	KMT2A	KMT2D	KMT2C	KMT2B	KMT2E	NSD1	NSD2	NSD3	PRDM1	PRDM2	MECOM	PRDM4	PRDM5	PRDM6	PRDM7	PRDM8	PRDM9	PRDM10	PRDM11	PRDM12	PRDM13	PRDM14	PRDM15	PRDM16	SETD1A	SETD1B	SETD2	SETD3	SETD4	SETD5	SETD6	SETD7	KMT5A	SETD9	SETDB1	SETDB2	SETMAR	SMYD1	SMYD2	SMYD3	SMYD4	SMYD5	SUV39H1	SUV39H2	KMT5B	KMT5C
brca_tcga_pub2015	TCGA-C8-A3M7-01	2636.0072	1207.021	93.832	712.9232	323.9042	88.2546	981.9554	567.9134	1426.5092	1417.979	273.622	230.9711	276.2467	0	192.9134	435.187	92.2211	950.4593	160.7612	2556.7585	2376.9718	3401.9029	1225.7218	2177.792	1762.1391	1249.0157	1369.0945	383.5302	1550.1969	1573.4908	940.9449	49.5407	47.5722	0	24.2782	0	328.7402	23.9501	4.5932	0	0	227.6903	182.7428	760.4987	995.4068	2179.1339	1591.2073	365.4856	2609.5801	222.4606	2943.2415	1487.2047	132.874	1026.5748	409.7769	654.5276	5.5774	1150.5906	199.4751	279.5276	456.6929	220.4724	195.21	1483.5958	284.1207
brca_tcga_pub2015	TCGA-AC-A2QH-01	1204.9959	725.474	78.3182	1101.4015	449.0684	39.5713	254.7403	251.4427	2648.8046	1406.4303	278.648	261.3355	422.094	2.4732	381.6983	211.9868	143.5532	1057.7082	69.2498	1512.7782	4457.6092	669.4147	1490.5194	1119.1591	3424.5672	3235.7791	651.2778	267.9308	1400.6595	114.5919	982.6876	53.5862	112.9431	0	32.1517	0	192.9101	24.7321	4.122	38.7469	0	377.5763	21.4345	911.789	830.9975	2098.9283	781.5334	512.7782	3696.62	260.3957	2046.9909	1130.2556	103.0503	1282.77	239.0767	324.8145	0	503.7098	654.5754	274.526	627.3702	265.4575	348.7222	519.3735	244.8475
brca_tcga_pub2015	TCGA-AC-A2QJ-01	251.9906	786.2595	35.8191	1352.9066	1220.0763	41.6911	510.8632	329.4187	2514.9736	645.919	197.2989	127.4222	176.1597	0	347.0346	119.677	67.0288	1089.8415	79.8591	404.5802	506.0482	273.6348	865.5314	156.3829	778.0388	648.855	419.8473	352.9066	700.5285	93.9518	479.1544	14.68	46.9759	0	112.7422	0	96.3006	3.5232	0	8.2208	0	238.99	2.3488	976.512	528.4792	657.0757	1057.5455	416.9113	1182.6189	129.5479	590.1351	974.7504	36.4063	901.3506	214.9149	551.9671	0	678.2149	969.4656	175.5725	965.9425	492.0728	116.2654	403.4058	367.5866
brca_tcga_pub2015	TCGA-AN-A0AT-01	1695.2176	919.8616	223.1191	632.7472	745.7884	24.791	437.3018	490.343	3187.0856	810.0317	252.2341	402.4214	200.9225	0	125.6846	137.838	102.6924	852.1188	157.9706	1722.6867	1283.1652	735.0822	2702.5079	776.9127	1826.7512	2812.9144	768.8095	275.5837	567.3105	67.4546	1297.2038	41.2223	2.8827	0.8648	17.0078	0.5765	208.4174	34.3038	0.8648	86.4803	0.2883	323.4361	2.8827	1021.3318	565.2926	3462.6694	1733.6408	444.7968	3605.9383	460.5448	1103.7763	699.0487	87.9216	1190.2566	185.6443	589.5071	13.2603	846.0651	509.0804	254.5402	1164.3125	403.5745	863.9377	1802.5368	177.8611
brca_tcga_pub2015	TCGA-A8-A07O-01	4564.6591	1264.9522	88.5167	709.0311	511.0048	41.567	554.1268	395.0359	1895.634	1020.634	179.4258	180.323	191.3876	0	115.7297	300.7865	40.1077	1588.2177	58.3134	2313.3971	2506.235	2132.177	1100.7775	1085.7386	1423.744	1346.5909	9113.6364	322.6675	857.0574	114.5335	890.2512	16.7464	5.0837	1.4952	16.7464	0	276.9139	13.756	2.0933	64.5933	0	228.7679	2.6914	1016.1483	1533.7919	2177.0335	915.0718	169.2584	2462.6196	408.433	3375.5981	1114.2344	15.2512	3055.9211	164.7727	325.0598	0.299	1214.4139	178.8278	151.3158	841.8062	582.8349	419.5574	1027.512	69.677
brca_tcga_pub2015	TCGA-AN-A0AL-01	1244.2512	1297.504	125.2013	777.7697	356.7834	29.3881	266.5056	642.1095	1115.5395	794.2834	182.7697	627.2142	152.5765	0	72.0612	259.1948	26.9767	2142.5121	55.153	1525.3623	1016.0024	1357.0853	1119.5652	1456.9243	1648.5507	2526.57	1117.9549	950.4831	714.9758	1349.0338	648.9533	27.7778	30.5958	0	16.9082	0	212.5604	16.1031	0.8052	0	0	195.2496	7.649	613.124	1090.9823	1260.467	1602.2544	211.7552	1402.5765	205.1288	1149.3559	1119.1626	81.3205	764.8953	237.1176	332.1256	0	428.744	285.0242	142.9147	762.0773	498.3897	339.372	1708.9372	101.0467
brca_tcga_pub2015	TCGA-GM-A2DB-01	569.7241	1008.2028	157.3453	645.7867	1201.8195	42.5056	217.0022	698.7323	1284.862	1014.9142	175.9881	571.9612	186.428	0	290.082	332.6696	79.3139	545.1156	291.5735	1434.0045	1544.1834	1982.8486	947.8001	1271.6107	2228.9336	1544.3699	762.8635	237.8822	1075.3169	147.651	503.3557	42.5056	35.7942	0	20.1342	0	299.7763	2.9828	8.9485	0	0	213.2737	195.3766	1035.7942	658.4638	1144.6682	3818.0462	349.739	1568.2327	663.1245	2293.8106	1306.4877	213.2737	768.8292	149.8881	596.5697	20.8799	1133.4825	173.0052	129.0082	1140.1939	899.3289	243.8479	1296.0477	284.1163
brca_tcga_pub2015	TCGA-GM-A2DF-01	894.0763	2074.7992	134.5382	588.3484	633.8203	37.6506	616.4659	1161.6466	1711.3454	619.4779	315.261	166.6667	224.3976	0	120.9839	445.6526	160.5673	752.51	128.5141	1331.8273	1701.1396	2163.1526	942.2691	1150.1757	1685.241	1385.5422	2730.9237	1443.7751	1013.0522	159.6386	540.1606	17.0683	19.0763	0.502	31.1245	0.502	121.4859	16.5663	15.0602	55.7229	0	329.8193	13.5542	1119.9799	863.9558	1154.1165	1358.4337	458.8353	3212.3494	632.7962	811.747	1089.8594	28.1124	742.9719	286.1446	512.0482	5.0201	1305.2209	267.5703	162.6506	753.012	396.0843	287.1486	1348.3936	176.2048
brca_tcga_pub2015	TCGA-GM-A2DH-01	3245.5619	1169.7523	101.6949	1156.7119	268.086	101.1734	483.1812	841.4602	2814.6023	1738.7223	134.811	303.781	173.4029	0	103.5202	450.5215	163.6584	1310.5606	128.0313	3715.7757	3809.7679	2489.7001	1323.0769	2682.5997	2757.236	4470.4042	1898.0443	483.1812	1312.3859	112.1252	875.0978	7.8227	12.2555	0	53.455	0	448.2399	28.6832	1.3038	0.5215	0	341.8514	20.339	1008.0834	1202.8683	2579.9218	1284.485	105.0847	3801.5645	410.2634	1895.9583	904.824	150.4563	1336.1147	217.4707	652.412	1.043	749.6741	273.794	340.0261	575.4889	379.9218	482.1382	1873.794	324.3807
brca_tcga_pub2015	TCGA-D8-A1XK-01	2436.9778	1160.5458	88.5208	1126.601	232.9808	15.206	243.2964	1582.2415	1716.1089	1025.5923	236.2365	481.1622	132.7812	0	101.0115	844.2604	41.0101	1306.3607	125.1782	1593.103	1649.5282	1619.7135	1275.1341	1531.8227	5722.6258	3889.2132	1917.3172	277.2385	494.1959	63.2679	722.8294	25.5244	5.9738	0	9.2322	0	264.4763	34.2136	1.6292	104.5414	0.2715	380.6938	4.6161	999.7963	454.2801	1614.2828	1966.7368	395.3567	4576.4714	413.8891	1663.4309	1350.6211	131.152	1341.3889	199.5791	415.9935	5.7023	878.6912	302.4913	260.9463	501.2559	527.8664	1198.5609	2021.8587	230.8058
